count,hate_speech_count,offensive_language_count,neither_count,class,tweet
3,0,1,2,2,baby monkey bathtime awwwwe this is soooo adorable
3,0,3,0,1,i ain t shit damn skippy lol
3,1,2,0,1,u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy no bs must b gt chance
3,0,3,0,1,rings mvps bitches lol
3,1,2,0,1,ppl talk bad about the ghetto hood but as a kid growing up a nigga had funnnnnnn
9,0,7,2,1,the facts on tattoos tattoo he s a pussy with not tattooing them nipples
3,0,3,0,1,bitches be wanting to act like niggas so bad that shit aint cuteeeee but niggas act like bitches
3,0,3,0,1,get worshiping bitch woof woof
3,1,2,0,1,wow i m lost are those buttcheek piercings yeah she s a hoe
3,0,3,0,1,ok sis she d rather be a broke bitch shrugs she ll have to tell me how it works for her
3,2,1,0,0,queer gaywad
3,0,3,0,1,faggot read my tweets after dat k it wasn t even funny lol
3,0,3,0,1,this bitch was so ungrateful fr lulwhore
3,0,3,0,1,i been kidnapped yo bitch
3,3,0,0,0,alsarabsss hes a beaner smh you can tell hes a mexican
3,1,2,0,1,happy birthday nigs thanks yo
6,1,5,0,1,when ur teacher tells u that u have homework this bitch need to go
3,1,2,0,1,that nigga was eating that hoe lol hell yea lol john paul nigga said john paul
3,0,3,0,1,what would y all lil ugly bald headed bitches do if they stop making make up weave
3,1,2,0,1,leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig
3,0,3,0,1,going back to school sucks more dick than the hoes who attend it
3,0,3,0,1,on my way to fuck yo bitch me as a year old
3,0,3,0,1,how come you never bring me food i dont have a car retard
3,0,3,0,1,if richnow doesn t show up with hella tinder hoes im not his friend anymore chill i brought like like prople
3,1,2,0,1,how bout them cowboys shutup pussy
3,0,3,0,1,lmaooooooooooo this nigga lt bitch want likes for some depressing shit foh
3,0,3,0,1,girl you know i was spitting that g shit to you you was going lbvs bitch plz
3,0,3,0,1,let me make a couple tweets off cuzzo page so i won t get in twitter jail lmao bitch don t trick me again
3,0,2,1,1,harlem shake is just an excuse to go full retard for seconds
3,0,3,0,1,amen miley but she don t need to act like a hoe just bc she s emotionally damaged foh
3,0,3,0,1,having one loyal female is wayyyyy better than having hoes idc
3,0,3,0,1,pussy licking pussy meow meow stopwhitepeople
3,0,3,0,1,check out our th man cowboysnation even with all those faggot ny fans in the stands
3,0,3,0,1,what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch
3,0,3,0,1,im the bitch okay nudes pat wow
3,3,0,0,0,you re fucking gay blacklisted hoe holding out for tehgodclan anyway
3,0,3,0,1,the fuck be wrong with these bitches nobody knows
3,0,3,0,1,yall shut up p make me bitch
3,1,2,0,1,i hate a i m pregnant type of bitch
3,0,3,0,1,got bitches in the dm but i don t ever read em which is y your top
3,0,0,3,2,baseball season for the win yankees this is where the love started
3,0,3,0,1,little stupid as bitch i don t fuck with yoooooouuuu
3,0,3,0,1,she really asked me that dead ass serious tho all i could say was bitch wheet lol
3,0,0,3,2,i m an early bird and i m a night owl so i m wise and have worms
3,0,1,2,2,overdosing on heavy drugs doesn t sound bad tonight i do that pussy shit every day
3,0,0,3,2,pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures
3,0,3,0,1,aw fag don t tweet aw to me lol
3,0,0,3,2,as long as the lakers trash from now on i could careless and that s real cc hahaha
3,0,3,0,1,i didn t say anything tho kiss me then faggot
3,0,0,3,2,this the i play soccer cheat on girls and wear khaki coloured cargos haircut yup
3,0,3,0,1,i could go for a fat ass bitch on my lap same
3,0,3,0,1,missed calls das yo p o bitch twitter finna be screamn freemoneymelle
6,0,6,0,1,ya side bitch gotta know it s rules to this shit anybody ask you my cousin from jersey thinkin bout moving lmmfao
3,0,3,0,1,amo los pies fuck yeah
3,0,3,0,1,these hoes be thinking meat won t slap they ass ainna bruh
3,0,3,0,1,yall bitches wit no edges be doing the most talking
3,0,3,0,1,yall still going trick or treating this year or nah hell yeah ima be da sweet tooth bandit steal bitches bags n shit
3,0,3,0,1,i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck
6,0,6,0,1,if she kiss u with her eyes open watch that bitch lmfao
3,0,3,0,1,you a woulda coulda shoulda ass hoe
3,0,3,0,1,happy bday bitch ass nigga preciate that bitch roll up
3,0,3,0,1,used to send that bitch up
6,0,6,0,1,ugly bitches be like i m my own wcw duh bitch you ain t nobody elses
3,1,2,0,1,nigga you know we hacky sack hoes nah i throw no look passes lmao
3,1,2,0,1,glad i m getting outta atlanta nothing but a bunch of niggas in outta jail dumb bitches with mad kids fuckin em
3,0,1,2,2,this isn t ghetto it s smart i m doing this idc
3,0,2,1,1,i would wife a hoe only cuz we wouldn t care that we cheating in each other why force the relationship in the first place
3,0,3,0,1,being single isn t an excuse to be a hoe
3,1,2,0,1,white boy power bitch black power bitch
3,0,3,0,1,lets get drunk get blowed spit shit spark blunts fuck hoes bro white dudes have no chill
3,0,3,0,1,bitch where u been around the world and back where you been
3,0,3,0,1,if i don t get my dick sucked at yo party by a bad bitch i m fr gone set it off by
3,0,2,1,1,oomf is soooo cute but he probably has hoes on him a lot
3,0,3,0,1,in every cartoon theirs alway a saving these hoes lmao lmao damn captain saveahoe
3,0,1,2,2,who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs
3,0,3,0,1,i wish i was a bitch like my brother keezy ooooow i bet you do
6,0,6,0,1,if you dressed up as a cat for halloween you are basic or a pussy
4,0,4,0,1,can pornhub just get a gaming stream feature so these dumb bitches can gtfo get on it katie lt
3,0,3,0,1,stop being scared to choke her during sex u bitch ass niggas she ll like it says the guy who hits women out of bed foh
3,0,3,0,1,ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig
6,0,6,0,1,oh man its am you off a molly ho where the fuck ya seed at fixed
3,0,3,0,1,you re not a man if you refer to every girl as a bitch
3,0,3,0,1,lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga
3,0,1,2,2,peel up peel up bring it back up rewind back where i m from they move shaq from the line ooooow who tf said that trash
3,0,2,1,1,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
3,0,3,0,1,naw it s my old tape new cover my upcoming mixtape is kingofthehill yeah i m waiting on that hoe mayne
3,0,3,0,1,ol dirty foot ass bitches this was too funny to me
3,0,3,0,1,that s where i get my yellow flags for being amazing hell yeah niggy
3,0,3,0,1,don t got time for bitches to be actin iffy
3,0,0,3,2,ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut
3,0,2,1,1,these hoes ain t loyal no they ain t smfh wonder why nobody decent wants them
3,0,3,0,1,bruh you studs keep thinking i m soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe
3,0,3,0,1,dry pussy bitches always blame it on the condom
3,0,3,0,1,shut yo bitch ass up
3,0,3,0,1,gucci mane in jail and dropping mixtapes every month and you hoes can t even text back
3,0,3,0,1,you love these hoes more then money wats wrong these niggas
6,0,6,0,1,a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol
3,0,3,0,1,easy cum easy hoe that s a fact
3,0,3,0,1,charlie sheen is too real major fucking respect for charlie sheen
3,0,3,0,1,wish i had a bae you got all the hoes tho
3,0,3,0,1,fuck twerking bitch can you cook
3,0,3,0,1,bitch wtf
3,1,2,0,1,shut up zoe fight me pussy for zoe i m good man you are good ma am move along now
3,0,3,0,1,lmao fucking snake bitches em
3,0,3,0,1,big booty hoes everywhere sheesh damn
3,0,0,3,2,stay tuned to for an update on the report that b will be out weeks bum
3,0,0,3,2,i play soccer cheat on girls and wear khaki coloured cargos haircut yes lmfao
3,0,3,0,1,oregon chokes every year get off the field trash ass program rft
3,0,3,0,1,def not cowboy lol terrell owens was the best eagle cowboy ever dude cried like a bitch on tv over romo
3,3,0,0,0,lmfaoooo i hate black people this is why there s black people and niggers
3,0,3,0,1,how could u do this to me bitch potent
3,0,1,2,2,a pissed lad past out i would lick his dirty soles while he slept
3,0,1,2,2,love frat boy w soft long soles
3,0,1,2,2,sexy lad with hot soles and arches
3,0,3,0,1,nah fam i gotta cheat with the hoes depends on the female i feel
3,0,0,3,2,i got hicks lol
3,1,2,0,1,this new twitter is confusing the shit out of me go back to south america bitch
3,0,3,0,1,toto means ass or vagina i think pussy cause toto santi is like nasty pussy
3,0,3,0,1,but what if he actually does choose the ugly bitch over you her ass must be fat
3,0,3,0,1,bitch couldn t kill my vibe if ya tried dis why i love miley
3,0,3,0,1,i m tired of bitches saying i look mean nigga you big af wear tight shirts and grim everybody
6,0,0,6,2,birds your grandkids may never see thanks to climate change climate
3,0,3,0,1,stay beautiful you bitch
3,0,3,0,1,wutkinda r purple ceeeleee man this gurl was jus playin on the stupid hoe track but in still shitted on sum gurls
3,0,3,0,1,money getting taller and bitches getting blurry
3,1,2,0,1,i ain t never seen a bitch so obsessed with they nigga i m obsessed with mine
3,0,2,1,1,kobe stay talking trash but let s not forget i meant to do this one smh
3,2,1,0,0,at least i m not a nigger lmfao
3,0,3,0,1,people always asking me what i m mixed with she a bad asian bitch lol
3,2,1,0,0,ariza is a snake and a coward but at least he isn t a cripple like your hero roach lmaoo
3,0,1,2,2,fosters home for imaginary trash whoa chill that show was everything tf
6,0,5,1,1,i am lowkey tired if you tired be quiet and go to sleep hoe
3,0,3,0,1,stop bringing weird niggers into my mentions
3,0,3,0,1,we don t love these hoes
3,0,3,0,1,if yo girl cant have homeboys you a ol weak bitch ass nigga
3,0,3,0,1,i think worst advice i gave you was don t be a pussy and speed up lol
3,0,3,0,1,quote this tweet with your favorite animal pussy
3,0,3,0,1,i hate when strippers tell you they re dancers hoe ballet dancers don t pop their pussy to beethoven you a stripper
3,0,3,0,1,andrewbryant poff has double vision after beers poff double pussy smh
3,0,3,0,1,when bitches twerk on the computer me in ya in ya damn
3,0,3,0,1,prince this is art nobody takin his bitch
3,0,1,2,2,of welfare government aid is claimed by white people so y all black slander is trash now
3,0,3,0,1,these bitches don t care they just play that role
6,0,6,0,1,it took a while for you to find me but i was hiding in the lime tree dis bitch in da wrong tree bro
6,3,2,1,0,drakes new shoes that will be released by nike jordan yes there s glitter on the shoes dudes a fag
3,0,1,2,2,inna di ghetto you alone lmaoo
3,0,1,2,2,hoes austin teach us austin i teach u how to get curved that s all i know
3,1,2,0,1,bitches can t cook but know how to suck dick s o to the ones that can do both
3,0,3,0,1,fat hoes get chose lol
3,0,3,0,1,hoesaintloyal well they re hoes no one expects them to be loyal
3,0,3,0,1,ol bitch ass
3,1,2,0,1,bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaooo
3,0,3,0,1,just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you
3,0,3,0,1,holy shit freddie highmore was in charlie and the chocolate factory me rolls on the floor laughing
3,1,2,0,1,i don t want to have sex with my gf because i feel like i m using her anonymous whata faggot
3,0,3,0,1,one of your followers with this somebody bitch if you don t
3,0,3,0,1,if ya bitch always bitching clearly she care or just an annoying bitch
3,0,3,0,1,these catfish hoes thinkin they slick but niggas catching on
3,0,3,0,1,can t worry about a bitch that ain t worried bout me real
3,0,3,0,1,side hoes are for insecure niggas that can t handle a real one
3,0,3,0,1,lmao this bitch come scooting in the tent like she about to fuck some shit up
3,0,3,0,1,my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers
3,0,3,0,1,i m hungry but ionn wanna spend my money on food broke hoe problems
6,0,6,0,1,dese hoes be lyin to all of us nigga
3,0,3,0,1,oh yeah fuck that bitch
3,0,1,2,2,eli manning just threw his nfl leading th interception of the season lmao trash
3,0,1,2,2,usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team he s a bitch
3,0,3,0,1,guess what i also have zero time for your mansplaining adios stfu pussy
3,0,1,2,2,chilling sexy scally lad
3,0,3,0,1,i ain t sharing no bitch if you mines you mines
3,0,3,0,1,money only impress the simple broke bitches
3,0,2,1,1,pisces will never be anybody s bitch they don t let people control or change them rigghhht
3,0,1,2,2,tuku ho idk blah blah blah
3,0,1,2,2,i m not mad cuh hahaha suure tuku ho ita
3,0,3,0,1,these hoes is crazy
3,0,3,0,1,you ain t ever gonna be a slice bitch kevin hart
3,0,3,0,1,oomf so fuckin fine tho dam her don t be no bitch
3,1,2,0,1,i wonder if the girl that gave head to boys for a drink in magaluf has twitter she probly sends nudes for fags
3,0,3,0,1,newsatquestions yeah bitch yeah bitch call me a maybe b steve o c later d jesse pinkman
3,0,3,0,1,hickies in between her thighs right by her pussy gt gt gt its only right
3,0,3,0,1,would you still love me when i m no longer young and beautiful no ugly monkey ass
3,1,2,0,1,y all come through the front bitch i ain t coming
3,1,2,0,1,faggot bitch
3,0,3,0,1,yea i m on my ipad i don t work this friday let s ball this faggot up i work
3,0,1,2,2,this scally lad would get it
3,2,1,0,0,gerryshalloweenparty halloween was yesterday stupid nigger
3,0,2,1,1,chrus still supahot tho walks up to teacher with test drops test in that bitch fohead
3,0,3,0,1,i love eating pussy lol i never get full lol i can eat that shit forever lol and ever
3,0,3,0,1,no slushes hoes nasty anyway fam them hoes taste like meds
3,0,2,1,1,no slushes hoes nasty anyway fam
3,1,2,0,1,bobby bitch by be getting me live as fuck hell yea i play that hoe before my workout
3,0,3,0,1,yo bitch is gucci mane my bitch a stoner
3,0,3,0,1,i can ride your bitch with no handle bars
3,0,3,0,1,and if you ain t a hoe get up out my traphoussseeeee
3,0,0,3,2,sad tv character deaths we re still bitter over stark was the man
3,0,3,0,1,these harbor bitches are all party bus hoes lol all
3,0,3,0,1,pussy love it
3,0,3,0,1,ultraviolence video its coming you little bitch mtvhottest lana del rey bitchy promo
3,0,3,0,1,on my way to fuck your bitch lmfao kittycopter
3,0,0,3,2,a smuggler explains how he helped fighters along the jihadi highway
3,0,3,0,1,aww their avis look so cute together do i gotta get ike avi on this bitch
3,0,3,0,1,its simple dont be a hoe dont worry about being exposed fight me why
3,0,3,0,1,whys this bitch boosting herself her size isn t exactly the most healthy tho
3,0,3,0,1,bet not be no bitches kim bye
3,0,3,0,1,damn near gotta protect my tweets stalkers being annoying you got that dope dick drive these bitches loco
3,0,3,0,1,i m making marack my girlfriend aye b you pullin hoes just like o taught you
3,1,2,0,1,bruno fag boy you love me
3,0,3,0,1,i must be a bitch you are sike naw this why we always beefing
3,0,0,3,2,down yankees look to rally in the bottom of the th rallycap
3,0,3,0,1,don t take advantage of a nice person hoes everyjuan
3,1,2,0,1,happy birthday bitch nigga thanks pal
3,0,3,0,1,sad knowing that most hoes won t fuck with you bc you ain t got stacks wait till friday
3,0,3,0,1,cinco shit harder fucc nigga yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca
3,0,3,0,1,ewww i said that last sunday as in the last sunday i was there read it again nigs
4,1,3,0,1,i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake
3,0,3,0,1,my pussy still fresh lt something stank girls say
4,0,4,0,1,ass slapping is one the greatest things haha i slapped a girl on the ass she got mad i aint get pussy for a week
3,0,3,0,1,yeah texans are so much better you fucking retard i see that you re mad about this
3,1,2,0,1,nd wtf is up with dark bitches with blonde please have several seats hoe looking like blackmilds out here
4,0,4,0,1,there s a lane some bitches need to stay in the left n get right the fuck outta our face
3,0,3,0,1,i hate when boys deny that they have bitches smh
3,1,2,0,1,ya nigs out there still saying y all don t eat butt with a straight face
3,0,3,0,1,im a boss ass bitch that needs to sit in a corner
3,0,3,0,1,he s a hoe i can t
3,0,3,0,1,me and paul thinkin bout gettin rentals for da weekend oooh shit bitches betta stay out da streets
6,0,6,0,1,bitches hold they nigga down when he get locked up but if a nigga go to college or the military it s a different story
3,1,2,0,1,why do my friends hate me because you a ratchet hoe
3,1,2,0,1,no love for these fuck niggas hoes
3,0,3,0,1,hot meat sexy as fuck scally lad i would love to meet him and his trainers
3,0,3,0,1,sniff perved up scally lad fuck yeah
3,0,3,0,1,these bitches love sosa
4,0,3,1,1,i legit watched it for about or seconds so did i wtf prob cause were retarded smh
3,0,3,0,1,what should i name my cat ideas mr pussy
3,0,2,1,1,woof woof sexy thug boy scally
3,0,3,0,1,u see the damn phone ringing when you married bitches makes demands you haven t called me
3,0,3,0,1,tevin is my favorite sophomore i think he s so funny hes really not lmaoo hes a little hoe
3,0,3,0,1,sex positions this what u call fucking the soul outta bitch
3,2,1,0,0,is bored supposed to be cute you faggot sometimes
3,0,0,3,2,one mans trash is another mans treasure
3,0,3,0,1,i don t got no type bad bitches is the only thing i like iongotnotype
3,2,1,0,0,lassen cc the coach wants me i feel it youll get more my nig no doubt
3,0,3,0,1,god teeth gold chain white bitches cocaine
3,1,2,0,1,its me hoe its me hoe shhhhh
3,0,3,0,1,in d c we call them rollers in chiraq we call them thots all across america they have been known as a hoe
3,0,3,0,1,i m gonna miss that bitch of a bus driver no you won t don t lie
3,0,3,0,1,hate when bitches try and put you in the friendzone bitch i m tryin to score put me in the endzone on my soul
3,0,1,2,2,ashley young has tried to deny that bird s landed in his mouth gt hahaha
3,0,3,0,1,yall both gimped up ain t tht a bitch huh lol
3,0,1,2,2,take me for a ride woof woof
3,1,2,0,1,oh my god i love victoria mitchell all my bitches love me
3,0,3,0,1,that long distance shit wack i knew the bitch was cheating uh oh
3,0,3,0,1,he s doing it right no bitches smh
3,0,3,0,1,they ban dat pussy for life he gotta pay millon dollar fine
3,1,2,0,1,roses are red and violets are blue and niggers are black you know that s true
3,0,0,3,2,sitting on my window sill window open bird tries to fly in smacked it protecttheanimals
3,0,3,0,1,but a nigga gon be a nigga be a nigga you sound fuckin retarded
3,0,0,3,2,a video an entire media will likely mock i am such a crybaby
3,0,3,0,1,i m not even shy stfu kikis mom hi angelique angelique smiles dips cracker in soup
3,0,3,0,1,tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville smh
3,0,3,0,1,karma is a bitch damn godprotectshisangels sips tea
3,0,3,0,1,fuckin hot gym pussy fuck yeah
3,0,0,3,2,jihadi patron hajjaj al ajmi is arrested at kuwait airport
3,0,2,1,1,you can call me fireman cause i turn the hoes on
3,0,3,0,1,i could never have a bby by a lil dick thts y i got a abortion by the last bitch oh my god
3,0,3,0,1,watch women try to argue with me like they have a dick and actually fucked some pussy before i hate when bitches do that
3,0,3,0,1,and smoke weed in public fuck cops man do what you wanna do they don t own you run if they come are you retarded
3,0,0,3,2,tweety bird tho
3,0,3,0,1,my pussy sweet like watermelon thotermelon
3,0,1,2,2,when twitter rappers dm me their trash links
3,0,3,0,1,loud bitches annoy me
4,0,4,0,1,eventually every bitch turns into that hoe truuu
3,0,3,0,1,i swear if oomf try talking to me tomorrow pussy
3,0,3,0,1,you bitches be pretending to be tf crazy you ain t never lied
4,0,3,1,1,k bye hoe um bye
3,2,1,0,0,jackies a retard blondeproblems at least i can make a grilled cheese
3,1,2,0,1,ima keep on giving these pussy ass niggas ah reason to hate
3,0,0,3,2,photo he is in sole heaven
3,2,1,0,0,stacey dash won baddest bitch evaaaa
3,0,3,0,1,side bitch sunday
3,0,3,0,1,facts what baldheaded bitch made this shit lmao
3,0,3,0,1,fuck wit us and then we tweakin hoe shmurda
3,0,0,3,2,we actin like it s the th day spook
3,0,3,0,1,i ll break that lil bitch neck and won t even feel sorry about it savage
3,0,3,0,1,this is so fucking hot scally sneakersex sockfetish sniff trainersex love me some kinky scallies
3,1,2,0,1,y all dumb ass niggas be so pressed to have hoes y all weak as fuck as fuck weed over hoes oreos too
3,0,3,0,1,i can turn yo bitch into a eaterrrrrrrrr
3,0,3,0,1,i don t trust dese hoes nikki told st where i stay at all my fans screen shot asap we finna come to chiraq and shoot sumn
3,0,3,0,1,aye yall ima tryout for the bowling team frfr tryouts passed tho no theres two more retard
3,0,3,0,1,now u got what u want bitch enjoy it now this is a crazy party i would love to attend
3,0,0,3,2,colored contacts in your eyes blinders on mine cause i can t see you at all lmao
3,0,3,0,1,facts only the dudes with hoes say they don t got hoes
3,0,3,0,1,i m rea start smacking bitches period bluffin at its best
3,0,3,0,1,lifes a bitch and then you die thats why we get high cause you neva know when you re gonna go my sister is perfect
3,0,3,0,1,one of us is on drugs and its me but you re still wrong hahahahahahah im a bitch sometimes
3,1,2,0,1,i m feeling pretty fuckin ghetto smh
3,0,0,3,2,swears i m man easily easily behind austin nip
3,0,3,0,1,this is a true ride or die bitch what the fuck hahahahah
4,0,0,4,2,h g wells and charlie chaplin history photography
3,0,3,0,1,all i see is bruno s bitch ass on my twitter now wtf bruno s all that she sees drake voice
3,0,3,0,1,i m about to cool faggot chill tf is cool nigga
3,0,3,0,1,i m so sure bitch frfr tf
3,0,3,0,1,twitter is not a source of news broadcast you fucking retards it is when nbc abc cnn fox etc are all keeping quiet
3,0,3,0,1,got a couple bitches saying they know me but i ma let the money talk for me and i m like wwyd
3,0,3,0,1,grudges are for weirdos and bitches
3,1,0,2,2,i told mariam to but cigarettes for her birthday you also called me trash rn
3,0,0,3,2,brownies tonight what kind
3,0,3,0,1,no text back i don t give a fuck i ll text another bitch damn someone is hurt lol
6,1,5,0,1,ummmmmm okay you got hoes from left to right do yah thang
3,0,3,0,1,using y mx b to find the slope of that ass
3,0,0,3,2,fit lads nice gear these scally lads n trainers would get it
3,0,3,0,1,hell yeah bro fuck yeah sexy scally lad in hot gear
3,0,3,0,1,helping out a mate i love scally play fuck yeah
3,0,2,1,1,lads being lads fuck yeah i love scally lad action hot trainers too
3,0,3,0,1,next year bitches is gonna be like you gotta promise you won t expose me
3,0,3,0,1,so hot lick it bitch fuck yeah eat that trainer u dirty fucker
3,0,3,0,1,y all think celebrity pussy different from the locals yeah meghan goods is
6,0,2,4,2,i saw an ajumma walk out in the beginning saying wow this is so trash that i can t even listen to it lmaoo
3,0,3,0,1,need these sox fuck yeah i love a kinky scally lad w rank sox and sneaks
3,1,2,0,1,i don t ever expose females like that that s childish bitch nigga shiiii
3,0,3,0,1,yasss trys new things with bestfriend bitch who do you love
3,1,0,2,2,dude remember this wop video omg where did you find that
3,0,2,1,1,thick raw fuck damn his man pussy is getting a workout
3,0,0,3,2,rawr my sexy french scally i love him frenchscally sexy scally woof woof
3,0,3,0,1,nothin in life is free some of you bitches need to write that on ya panties
3,0,3,0,1,if one of you bitches want some of my burrito u can catch me at potosino huh haha
3,1,2,0,1,niggas whole hoes out here cuz couldn t had said it better
3,0,3,0,1,hardcore way to eat mac and cheese boil water snort cheese powder drink boiling water fuck bitches
3,0,3,0,1,yourenotmytype if my fade is perpetually fresher than yours that s a real ass bitch rite there
3,0,3,0,1,annoying bitch that i love judyann s so pretty
3,0,3,0,1,lmao bitch got on some huggies
3,0,3,0,1,hi bitch no bitch bye bitch
3,0,3,0,1,does he look like a bitch
3,0,3,0,1,chase money not hoes
3,0,3,0,1,can t stand a i don t know what i want ass nigga bitch
3,0,3,0,1,i m on my way love a chav hot sexy scally fucker
3,1,2,0,1,these newly gay bitches don t kno how shit works
3,0,3,0,1,when a bitch don t want a real job they just become strippers lol lol
3,0,3,0,1,awww meat meat in his feelins i ainn n my feelings bitch
3,0,2,1,1,i want snake bites my industrial piercin a tattoo dem hoe accessories dea
3,0,0,3,2,baby albino
3,0,3,0,1,these hoes ain t loyal
3,1,2,0,1,yassssss ordered chinese bitch you just ate tacos you fat fuck
3,0,3,0,1,i made that bitch lunch bitches love lunch
6,2,4,0,1,a no brainer but as soon as this bitch gets rich in political power her views will change political whores
3,0,3,0,1,a pussy a day keeps the devil away
3,0,3,0,1,ain t that about a bitch what does that mean
